1	Yuvan Anna fans hit like  here
1	Thoothukudi dist yadav sarbaga win panna vazhthukkal
1	hii.vijay sir .spr semma mass.so handsome u look. pattaiya kelaparinga.
3	Hip hop fans hit like here
1	எந்த சமூகமாக இருந்தாலும் உங்களுக்கான சிறந்த தலைவரை தேர்ந்தெடுங்கள்.தவறான தலைவர் உங்கள் சமூகத்தை தவறாக வழி நடத்திச் செல்வார். உன் உழைப்பால் உயர்ந்து வாழ்ந்து காட்டு என்று கூறுபவன் சிறந்த தலைவன் .அடுத்தவன் உழைத்ததை தன் உழைப்பால் என்றும் பிடுங்க முடியாது.தீரன் சின்னமலை பேரவையின் வாயிலாக தயாரிப்பாளருக்கும் இயக்குனருக்கும் வாழ்த்துக்களைத் தெரிவித்துக் கொள்கிறேன்
2	u will c my rage........Vakkaali Thala rokzzzzzzzzzzzzzzzzzzzzzzzzzzzzz........
1	super thalva  super star Rajni
1	Vera level ma sema different aa irukh
3	Rajini scene cut pannathukku, ethiruppu iruntha like pottu unga aatharava therivinga makkalae...
4	Dhum biryani ready for #suriya fans
3	vijai fans + Thalaivar Fans Meet pannalama Ready start 1 2 3
2	Dei director the***** 96 la varen Thalaivar sollaveillada yepdi ipdi oru echa vela pakran the*** director the*****komalakka adiirukuda the*******.intha generation muttakoothingaluku onnumtheriyathu nenga solrathanambittu irukunga.96 la avar sonnathu Na ipa varamaten athuku oru Kalam varum nu thanda sonnaru.unga aatha apanta kealunga loose koothingala.
0	Mee Kerela vote for STR .
1	Nalla Gaandu Agungo Andha 10K dislikers..
1	As str av vs all semma masss vera level  iam waiting
0	Rea ni lg rahi... plastic dummy lg ri ..
3	மயிலாடுதுறை பெரிய கோயில்  மயிலாடுதுறை Bus Stand  ; மேம்பாலம்  ; மணிகூண்டு ⏰
1	Thala Rasigayin sarbaga Sangathamizhan vetri adaya vazhuthukal
1	My childhood Hero thalaivaaaaaaaaaaaaaaaaaaa neenga epovumae mass than  Thalaivanagum Thalapathyin Rasigan
